Znaleziono 2894 plików .py

Plik                                                            LOC   SLOC   Comm  Blank
--------------------------------------------------------------------------------------
/tmp/django/django/__init__.py                                   24     14      5      5
/tmp/django/django/__main__.py                                   10      3      4      3
/tmp/django/django/apps/__init__.py                               4      3      0      1
/tmp/django/django/apps/config.py                               274    163     76     35
/tmp/django/django/apps/registry.py                             438    209    150     79
/tmp/django/django/conf/__init__.py                             257    153     59     45
/tmp/django/django/conf/global_settings.py                      680    300    262    118
/tmp/django/django/conf/locale/__init__.py                      636    626      8      2
/tmp/django/django/conf/locale/ar/formats.py                     21      7     13      1
/tmp/django/django/conf/locale/ar_DZ/formats.py                  29     22      6      1
/tmp/django/django/conf/locale/az/formats.py                     30     23      6      1
/tmp/django/django/conf/locale/bg/formats.py                     21      6     14      1
/tmp/django/django/conf/locale/bn/formats.py                     32     22      9      1
/tmp/django/django/conf/locale/bs/formats.py                     21      8     12      1
/tmp/django/django/conf/locale/ca/formats.py                     30     23      6      1
/tmp/django/django/conf/locale/ckb/formats.py                    21     10     10      1
/tmp/django/django/conf/locale/cs/formats.py                     43     33      9      1
/tmp/django/django/conf/locale/cy/formats.py                     33     26      6      1
/tmp/django/django/conf/locale/da/formats.py                     26     19      6      1
/tmp/django/django/conf/locale/de/formats.py                     29     20      8      1
/tmp/django/django/conf/locale/de_CH/formats.py                  33     20     11      2
/tmp/django/django/conf/locale/el/formats.py                     34     27      6      1
/tmp/django/django/conf/locale/en/formats.py                     65     40     22      3
/tmp/django/django/conf/locale/en_AU/formats.py                  41     26     14      1
/tmp/django/django/conf/locale/en_CA/formats.py                  31     23      6      2
/tmp/django/django/conf/locale/en_GB/formats.py                  41     26     14      1
/tmp/django/django/conf/locale/en_IE/formats.py                  37     30      6      1
/tmp/django/django/conf/locale/eo/formats.py                     44     37      6      1
/tmp/django/django/conf/locale/es/formats.py                     30     23      6      1
/tmp/django/django/conf/locale/es_AR/formats.py                  30     23      6      1
/tmp/django/django/conf/locale/es_CO/formats.py                  26     24      2      0
/tmp/django/django/conf/locale/es_MX/formats.py                  26     24      2      0
/tmp/django/django/conf/locale/es_NI/formats.py                  26     24      2      0
/tmp/django/django/conf/locale/es_PR/formats.py                  27     23      2      2
/tmp/django/django/conf/locale/et/formats.py                     21      6     14      1
/tmp/django/django/conf/locale/eu/formats.py                     21     11      9      1
/tmp/django/django/conf/locale/fa/formats.py                     21     10     10      1
/tmp/django/django/conf/locale/fi/formats.py                     36     28      6      2
/tmp/django/django/conf/locale/fr/formats.py                     27     20      6      1
/tmp/django/django/conf/locale/fr_BE/formats.py                  32     25      6      1
/tmp/django/django/conf/locale/fr_CA/formats.py                  30     23      6      1
/tmp/django/django/conf/locale/fr_CH/formats.py                  36     25      9      2
/tmp/django/django/conf/locale/fy/formats.py                     21      0     20      1
/tmp/django/django/conf/locale/ga/formats.py                     21      6     14      1
/tmp/django/django/conf/locale/gd/formats.py                     21      9     11      1
/tmp/django/django/conf/locale/gl/formats.py                     21     10     10      1
/tmp/django/django/conf/locale/he/formats.py                     21      9     11      1
/tmp/django/django/conf/locale/hi/formats.py                     21      6     14      1
/tmp/django/django/conf/locale/hr/formats.py                     44     35      7      2
/tmp/django/django/conf/locale/ht/formats.py                     48     40      6      2
/tmp/django/django/conf/locale/hu/formats.py                     30     23      6      1
/tmp/django/django/conf/locale/id/formats.py                     49     39      6      4
/tmp/django/django/conf/locale/ig/formats.py                     32     25      6      1
/tmp/django/django/conf/locale/is/formats.py                     21      8     12      1
/tmp/django/django/conf/locale/it/formats.py                     43     36      6      1
/tmp/django/django/conf/locale/ja/formats.py                     21     10     10      1
/tmp/django/django/conf/locale/ka/formats.py                     48     35     12      1
/tmp/django/django/conf/locale/km/formats.py                     21      8     12      1
/tmp/django/django/conf/locale/kn/formats.py                     21      4     16      1
/tmp/django/django/conf/locale/ko/formats.py                     54     36     16      2
/tmp/django/django/conf/locale/ky/formats.py                     32     25      6      1
/tmp/django/django/conf/locale/lt/formats.py                     45     38      6      1
/tmp/django/django/conf/locale/lv/formats.py                     46     38      7      1
/tmp/django/django/conf/locale/mk/formats.py                     40     31      6      3
/tmp/django/django/conf/locale/ml/formats.py                     43     27     15      1
/tmp/django/django/conf/locale/mn/formats.py                     21      3     17      1
/tmp/django/django/conf/locale/ms/formats.py                     38     31      6      1
/tmp/django/django/conf/locale/nb/formats.py                     41     27     13      1
/tmp/django/django/conf/locale/nl/formats.py                     92     58     33      1
/tmp/django/django/conf/locale/nn/formats.py                     41     27     13      1
/tmp/django/django/conf/locale/pl/formats.py                     30     21      8      1
/tmp/django/django/conf/locale/pt/formats.py                     39     27     11      1
/tmp/django/django/conf/locale/pt_BR/formats.py                  34     23     10      1
/tmp/django/django/conf/locale/ro/formats.py                     35     28      6      1
/tmp/django/django/conf/locale/ru/formats.py                     30     23      6      1
/tmp/django/django/conf/locale/sk/formats.py                     30     21      8      1
/tmp/django/django/conf/locale/sl/formats.py                     44     35      6      3
/tmp/django/django/conf/locale/sq/formats.py                     21      7     13      1
/tmp/django/django/conf/locale/sr/formats.py                     44     31     12      1
/tmp/django/django/conf/locale/sr_Latn/formats.py                44     31     12      1
/tmp/django/django/conf/locale/sv/formats.py                     35     27      7      1
/tmp/django/django/conf/locale/ta/formats.py                     21      4     16      1
/tmp/django/django/conf/locale/te/formats.py                     21      4     16      1
/tmp/django/django/conf/locale/tg/formats.py                     32     25      6      1
/tmp/django/django/conf/locale/th/formats.py                     33     26      6      1
/tmp/django/django/conf/locale/tk/formats.py                     32     25      6      1
/tmp/django/django/conf/locale/tr/formats.py                     30     21      8      1
/tmp/django/django/conf/locale/ug/formats.py                     14     10      4      0
/tmp/django/django/conf/locale/uk/formats.py                     35     28      6      1
/tmp/django/django/conf/locale/uz/formats.py                     30     23      6      1
/tmp/django/django/conf/locale/vi/formats.py                     21      9     11      1
/tmp/django/django/conf/locale/zh_Hans/formats.py                42     32      6      4
/tmp/django/django/conf/locale/zh_Hant/formats.py                42     32      6      4
/tmp/django/django/conf/urls/__init__.py                          9      7      0      2
/tmp/django/django/conf/urls/i18n.py                             39     22     10      7
/tmp/django/django/conf/urls/static.py                           30     16      9      5
/tmp/django/django/contrib/admin/__init__.py                     52     49      0      3
/tmp/django/django/contrib/admin/actions.py                      95     66     17     12
/tmp/django/django/contrib/admin/apps.py                         27     17      2      8
/tmp/django/django/contrib/admin/checks.py                     1384   1163    106    115
/tmp/django/django/contrib/admin/decorators.py                  111     48     40     23
/tmp/django/django/contrib/admin/exceptions.py                   25      9      4     12
/tmp/django/django/contrib/admin/filters.py                     716    585     49     82
/tmp/django/django/contrib/admin/forms.py                        31     22      3      6
/tmp/django/django/contrib/admin/helpers.py                     565    482     17     66
.../django/django/contrib/admin/migrations/0001_initial.py       75     72      0      3
...ntrib/admin/migrations/0002_logentry_remove_auto_add.py       21     17      1      3
...min/migrations/0003_logentry_add_action_flag_choices.py       19     15      1      3
/tmp/django/django/contrib/admin/models.py                      199    163     11     25
/tmp/django/django/contrib/admin/options.py                    2607   1888    440    279
/tmp/django/django/contrib/admin/sites.py                       621    387    137     97
...ango/django/contrib/admin/templatetags/admin_filters.py       12      9      0      3
.../django/django/contrib/admin/templatetags/admin_list.py      555    440     55     60
...jango/django/contrib/admin/templatetags/admin_modify.py      152    124     11     17
.../django/django/contrib/admin/templatetags/admin_urls.py       70     52      0     18
/tmp/django/django/contrib/admin/templatetags/base.py            56     45      6      5
/tmp/django/django/contrib/admin/templatetags/log.py             67     43     12     12
/tmp/django/django/contrib/admin/tests.py                       257    151     68     38
/tmp/django/django/contrib/admin/utils.py                       627    446    100     81
/tmp/django/django/contrib/admin/views/autocomplete.py          123     79     26     18
/tmp/django/django/contrib/admin/views/decorators.py             19     13      4      2
/tmp/django/django/contrib/admin/views/main.py                  558    438     81     39
/tmp/django/django/contrib/admin/widgets.py                     631    473     55    103
/tmp/django/django/contrib/admindocs/apps.py                      7      5      0      2
/tmp/django/django/contrib/admindocs/middleware.py               33     20      9      4
/tmp/django/django/contrib/admindocs/urls.py                     50     49      0      1
/tmp/django/django/contrib/admindocs/utils.py                   268    103    124     41
/tmp/django/django/contrib/admindocs/views.py                   523    423     50     50
/tmp/django/django/contrib/auth/__init__.py                     383    250     71     62
/tmp/django/django/contrib/auth/admin.py                        251    203     29     19
/tmp/django/django/contrib/auth/apps.py                          35     29      1      5
/tmp/django/django/contrib/auth/backends.py                     342    213     69     60
/tmp/django/django/contrib/auth/base_user.py                    164     99     32     33
/tmp/django/django/contrib/auth/checks.py                       261    226     15     20
/tmp/django/django/contrib/auth/context_processors.py            67     35     15     17
/tmp/django/django/contrib/auth/decorators.py                   136     82     27     27
/tmp/django/django/contrib/auth/forms.py                        599    433     71     95
/tmp/django/django/contrib/auth/handlers/modwsgi.py              66     34     19     13
/tmp/django/django/contrib/auth/hashers.py                      699    442    141    116
/tmp/django/django/contrib/auth/management/__init__.py          292    200     47     45
...ango/contrib/auth/management/commands/changepassword.py       82     68      1     13
...ngo/contrib/auth/management/commands/createsuperuser.py      317    275     21     21
/tmp/django/django/contrib/auth/middleware.py                   275    167     69     39
...p/django/django/contrib/auth/migrations/0001_initial.py      204    201      0      3
...uth/migrations/0002_alter_permission_name_max_length.py       15     12      0      3
...rib/auth/migrations/0003_alter_user_email_max_length.py       17     14      0      3
...ontrib/auth/migrations/0004_alter_user_username_opts.py       27     23      1      3
...trib/auth/migrations/0005_alter_user_last_login_null.py       17     14      0      3
...ntrib/auth/migrations/0006_require_contenttypes_0002.py       13      8      2      3
.../migrations/0007_alter_validators_add_error_messages.py       26     23      0      3
.../auth/migrations/0008_alter_user_username_max_length.py       26     23      0      3
...auth/migrations/0009_alter_user_last_name_max_length.py       17     14      0      3
...rib/auth/migrations/0010_alter_group_name_max_length.py       15     12      0      3
...ontrib/auth/migrations/0011_update_proxy_permissions.py       76     13     53     10
...uth/migrations/0012_alter_user_first_name_max_length.py       17     14      0      3
/tmp/django/django/contrib/auth/mixins.py                       136     81     32     23
/tmp/django/django/contrib/auth/models.py                       634    398    110    126
/tmp/django/django/contrib/auth/password_validation.py          280    170     58     52
/tmp/django/django/contrib/auth/signals.py                        5      4      0      1
/tmp/django/django/contrib/auth/templatetags/auth.py             25     22      0      3
/tmp/django/django/contrib/auth/tokens.py                       132     76     32     24
/tmp/django/django/contrib/auth/urls.py                          36     30      4      2
/tmp/django/django/contrib/auth/validators.py                    25     20      0      5
/tmp/django/django/contrib/auth/views.py                        379    279     38     62
/tmp/django/django/contrib/contenttypes/admin.py                143    117      8     18
/tmp/django/django/contrib/contenttypes/apps.py                  22     18      0      4
/tmp/django/django/contrib/contenttypes/checks.py                46     40      0      6
/tmp/django/django/contrib/contenttypes/fields.py               871    652     98    121
/tmp/django/django/contrib/contenttypes/forms.py                133    115      9      9
...ango/django/contrib/contenttypes/management/__init__.py      143    106     17     20
...ttypes/management/commands/remove_stale_contenttypes.py      107     97      1      9
.../django/contrib/contenttypes/migrations/0001_initial.py       45     42      0      3
...ontenttypes/migrations/0002_remove_content_type_name.py       42     37      0      5
/tmp/django/django/contrib/contenttypes/models.py               188    122     43     23
/tmp/django/django/contrib/contenttypes/prefetch.py              36     31      1      4
/tmp/django/django/contrib/contenttypes/views.py                 88     61     18      9
/tmp/django/django/contrib/flatpages/admin.py                    22     20      0      2
/tmp/django/django/contrib/flatpages/apps.py                      8      6      0      2
/tmp/django/django/contrib/flatpages/forms.py                    74     64      0     10
/tmp/django/django/contrib/flatpages/middleware.py               20     16      2      2
...ngo/django/contrib/flatpages/migrations/0001_initial.py       68     65      0      3
/tmp/django/django/contrib/flatpages/models.py                   49     42      1      6
/tmp/django/django/contrib/flatpages/sitemaps.py                 14     12      0      2
...ango/django/contrib/flatpages/templatetags/flatpages.py      101     58     26     17
/tmp/django/django/contrib/flatpages/urls.py                      6      5      0      1
/tmp/django/django/contrib/flatpages/views.py                    70     35     25     10
/tmp/django/django/contrib/gis/admin/__init__.py                 29     28      0      1
/tmp/django/django/contrib/gis/admin/options.py                  21     16      0      5
/tmp/django/django/contrib/gis/apps.py                           14     11      0      3
...p/django/django/contrib/gis/db/backends/base/adapter.py       26     17      4      5
