Znaleziono 83 plików .py

Plik                                                            LOC   SLOC   Comm  Blank
--------------------------------------------------------------------------------------
/tmp/flask/docs/conf.py                                         101     80      4     17
/tmp/flask/examples/celery/make_celery.py                         4      3      0      1
/tmp/flask/examples/celery/src/task_app/__init__.py              39     31      0      8
/tmp/flask/examples/celery/src/task_app/tasks.py                 23     15      0      8
/tmp/flask/examples/celery/src/task_app/views.py                 38     28      0     10
/tmp/flask/examples/javascript/js_example/__init__.py             5      3      0      2
/tmp/flask/examples/javascript/js_example/views.py               18     13      0      5
/tmp/flask/examples/javascript/tests/conftest.py                 15     10      0      5
/tmp/flask/examples/javascript/tests/test_js_example.py          27     22      0      5
/tmp/flask/examples/tutorial/flaskr/__init__.py                  48     24     12     12
/tmp/flask/examples/tutorial/flaskr/auth.py                     116     77     13     26
/tmp/flask/examples/tutorial/flaskr/blog.py                     125     84     16     25
/tmp/flask/examples/tutorial/flaskr/db.py                        56     28     12     16
/tmp/flask/examples/tutorial/tests/conftest.py                   62     36      8     18
/tmp/flask/examples/tutorial/tests/test_auth.py                  69     46      7     16
/tmp/flask/examples/tutorial/tests/test_blog.py                  83     58      3     22
/tmp/flask/examples/tutorial/tests/test_db.py                    29     19      0     10
/tmp/flask/examples/tutorial/tests/test_factory.py               12      7      1      4
/tmp/flask/src/flask/__init__.py                                 39     39      0      0
/tmp/flask/src/flask/__main__.py                                  3      2      0      1
/tmp/flask/src/flask/app.py                                    1625    684    641    300
/tmp/flask/src/flask/blueprints.py                              128     63     39     26
/tmp/flask/src/flask/cli.py                                    1127    684    215    228
/tmp/flask/src/flask/config.py                                  367    141    145     81
/tmp/flask/src/flask/ctx.py                                     540    207    196    137
/tmp/flask/src/flask/debughelpers.py                            179    129     17     33
/tmp/flask/src/flask/globals.py                                  77     26     32     19
/tmp/flask/src/flask/helpers.py                                 682    219    315    148
/tmp/flask/src/flask/json/__init__.py                           170     28     94     48
/tmp/flask/src/flask/json/provider.py                           215     69     94     52
/tmp/flask/src/flask/json/tag.py                                327    154     82     91
/tmp/flask/src/flask/logging.py                                  79     34     21     24
/tmp/flask/src/flask/sansio/app.py                             1010    347    483    180
/tmp/flask/src/flask/sansio/blueprints.py                       692    372    200    120
/tmp/flask/src/flask/sansio/scaffold.py                         792    288    353    151
/tmp/flask/src/flask/sessions.py                                385    158    152     75
/tmp/flask/src/flask/signals.py                                  17     13      1      3
/tmp/flask/src/flask/templating.py                              212    129     37     46
/tmp/flask/src/flask/testing.py                                 298    170     67     61
/tmp/flask/src/flask/typing.py                                   87     63     14     10
/tmp/flask/src/flask/views.py                                   191     61     85     45
/tmp/flask/src/flask/wrappers.py                                257     92    102     63
/tmp/flask/tests/conftest.py                                    129     82     14     33
/tmp/flask/tests/test_appctx.py                                 265    186      8     71
/tmp/flask/tests/test_apps/blueprintapp/__init__.py               9      7      0      2
...ask/tests/test_apps/blueprintapp/apps/admin/__init__.py       20     15      0      5
.../tests/test_apps/blueprintapp/apps/frontend/__init__.py       14      9      0      5
/tmp/flask/tests/test_apps/cliapp/app.py                          3      2      0      1
/tmp/flask/tests/test_apps/cliapp/factory.py                     13      7      0      6
/tmp/flask/tests/test_apps/cliapp/importerrorapp.py               5      3      0      2
/tmp/flask/tests/test_apps/cliapp/inner1/__init__.py              3      2      0      1
/tmp/flask/tests/test_apps/cliapp/inner1/inner2/flask.py          3      2      0      1
/tmp/flask/tests/test_apps/cliapp/multiapp.py                     4      3      0      1
/tmp/flask/tests/test_apps/helloworld/hello.py                    8      5      0      3
/tmp/flask/tests/test_apps/helloworld/wsgi.py                     1      1      0      0
...p/flask/tests/test_apps/subdomaintestmodule/__init__.py        3      2      0      1
/tmp/flask/tests/test_async.py                                  145    104      0     41
/tmp/flask/tests/test_basic.py                                 1970   1434     49    487
/tmp/flask/tests/test_blueprints.py                            1118    779     14    325
/tmp/flask/tests/test_cli.py                                    703    487     49    167
/tmp/flask/tests/test_config.py                                 250    191      2     57
/tmp/flask/tests/test_converters.py                              42     29      0     13
/tmp/flask/tests/test_helpers.py                                377    248     25    104
/tmp/flask/tests/test_instance_config.py                        111     80      0     31
/tmp/flask/tests/test_json.py                                   346    263      9     74
/tmp/flask/tests/test_json_tag.py                                86     64      0     22
/tmp/flask/tests/test_logging.py                                 98     69      0     29
/tmp/flask/tests/test_regression.py                              30     21      1      8
/tmp/flask/tests/test_reqctx.py                                 305    221      8     76
/tmp/flask/tests/test_request.py                                 70     50      3     17
/tmp/flask/tests/test_session_interface.py                       28     17      4      7
/tmp/flask/tests/test_signals.py                                181    139      0     42
/tmp/flask/tests/test_subclassing.py                             21     15      0      6
/tmp/flask/tests/test_templating.py                             532    375     12    145
/tmp/flask/tests/test_testing.py                                384    267     10    107
/tmp/flask/tests/test_user_error_handler.py                     295    203     12     80
/tmp/flask/tests/test_views.py                                  272    182      6     84
/tmp/flask/tests/type_check/typing_app_decorators.py             32     18      0     14
/tmp/flask/tests/type_check/typing_error_handler.py              33     21      0     12
/tmp/flask/tests/type_check/typing_route.py                     112     71      0     41
--------------------------------------------------------------------------------------
RAZEM                                                         18390  10430   3687   4273

Plików: 80
Komentarze/kod: 35.3%
Puste/całość:   23.2%
